iter	Passed	Remaining
0	115	114989
1	160	80064
2	230	76455
3	275	68668
4	323	64364
5	391	64923
6	456	64749
7	519	64394
8	573	63200
9	631	62503
10	682	61361
11	745	61397
12	811	61645
13	870	61274
14	920	60473
15	969	59607
16	1021	59071
17	1075	58697
18	1127	58225
19	1172	57460
20	1218	56785
21	1267	56349
22	1328	56450
23	1370	55750
24	1448	56510
25	1548	57993
26	1978	71306
27	2072	71954
28	2140	71659
29	2208	71423
30	2267	70873
31	2321	70215
32	2374	69588
33	2428	69001
34	2485	68541
35	2549	68270
36	2599	67668
37	2658	67312
38	2716	66936
39	2784	66821
40	2836	66337
41	2895	66040
42	2973	66187
43	3036	65968
44	3099	65778
45	3155	65451
46	3216	65217
47	3277	65007
48	3337	64775
49	3396	64538
50	3472	64607
51	3553	64777
52	3609	64495
53	3678	64448
54	3742	64310
55	3798	64025
56	3858	63838
57	3929	63817
58	3999	63793
59	4057	63560
60	4129	63574
61	4186	63338
62	4242	63095
63	4289	62729
64	4338	62409
65	4399	62261
66	4445	61903
67	4513	61867
68	4565	61600
69	4615	61322
70	4680	61247
71	4729	60962
72	4774	60625
73	4823	60354
74	4876	60137
75	4932	59974
76	4979	59684
77	5022	59370
78	5093	59378
79	5167	59428
80	5256	59633
81	5316	59522
82	5392	59572
83	5458	59525
84	5528	59516
85	5601	59530
86	5658	59381
87	5712	59200
88	5780	59168
89	5843	59088
90	5951	59446
91	5996	59186
92	6073	59236
93	6130	59083
94	6191	58982
95	6238	58743
96	6299	58645
97	6352	58467
98	6402	58264
99	6460	58144
100	6520	58040
101	6573	57868
102	6632	57760
103	6697	57701
104	6752	57560
105	6812	57452
106	6865	57296
107	6931	57250
108	7020	57389
109	7091	57379
110	7149	57261
111	7203	57110
112	7260	56992
113	7304	56773
114	7367	56701
115	7450	56774
116	7495	56571
117	7541	56369
118	7594	56228
119	7631	55967
120	7686	55841
121	7728	55623
122	7764	55358
123	7803	55130
124	7840	54884
125	7893	54754
126	7949	54647
127	7988	54423
128	8041	54294
129	8109	54268
130	8163	54154
131	8217	54038
132	8266	53888
133	8309	53704
134	8353	53524
135	8387	53287
136	8434	53131
137	8474	52937
138	8532	52850
139	8588	52758
140	8631	52581
141	8683	52466
142	8721	52266
143	8769	52129
144	8812	51965
145	8872	51895
146	8922	51772
147	8965	51612
148	9025	51546
149	9071	51405
150	9113	51239
151	9158	51096
152	9209	50983
153	9260	50874
154	9313	50772
155	9364	50667
156	9406	50509
157	9482	50532
158	9551	50520
159	9643	50630
160	9694	50519
161	9771	50544
162	9815	50402
163	9856	50244
164	9914	50174
165	9972	50104
166	10029	50027
167	10056	49802
168	10099	49661
169	10156	49586
170	10213	49514
171	10267	49427
172	10333	49400
173	10389	49322
174	10450	49268
175	10506	49188
176	10561	49109
177	10612	49010
178	10652	48856
179	10706	48775
180	10754	48664
181	10803	48556
182	10863	48498
183	10918	48421
184	10976	48355
185	11031	48278
186	11085	48197
187	11166	48230
188	11241	48238
189	11291	48138
190	11359	48113
191	11410	48017
192	11463	47933
193	11520	47863
194	11570	47765
195	11618	47657
196	11668	47560
197	11711	47438
198	11763	47348
199	11809	47237
200	11854	47121
201	11905	47033
202	11960	46957
203	12012	46871
204	12058	46762
205	12114	46694
206	12157	46575
207	12216	46518
208	12266	46426
209	12323	46358
210	12367	46246
211	12413	46141
212	12442	45971
213	12484	45853
214	12531	45752
215	12584	45677
216	12636	45596
217	12682	45492
218	12739	45432
219	12799	45379
220	12855	45315
221	12911	45248
222	12965	45176
223	13012	45079
224	13059	44981
225	13091	44836
226	13146	44768
227	13196	44682
228	13252	44617
229	13301	44530
230	13330	44377
231	13359	44223
232	13431	44213
233	13504	44206
234	13729	44694
235	13783	44619
236	13838	44552
237	13887	44464
238	13941	44390
239	13989	44299
240	14039	44216
241	14089	44131
242	14142	44056
243	14195	43981
244	14237	43874
245	14282	43776
246	14326	43677
247	14367	43566
248	14409	43460
249	14459	43377
250	14507	43289
251	14553	43199
252	14595	43095
253	14650	43028
254	14703	42957
255	14752	42875
256	14799	42787
257	14838	42674
258	14884	42585
259	14942	42528
260	14995	42457
261	15041	42367
262	15093	42295
263	15134	42191
264	15187	42123
265	15233	42036
266	15283	41956
267	15337	41891
268	15373	41776
269	15427	41710
270	15478	41638
271	15530	41567
272	15568	41459
273	15621	41390
274	15660	41286
275	15711	41213
276	15763	41145
277	15812	41067
278	15868	41007
279	15908	40907
280	15959	40835
281	16006	40754
282	16054	40675
283	16110	40615
284	16166	40559
285	16209	40468
286	16258	40390
287	16308	40317
288	16353	40233
289	16406	40168
290	16458	40099
291	16512	40038
292	16562	39963
293	16601	39867
294	16648	39787
295	16707	39735
296	16750	39648
297	16803	39584
298	16850	39506
299	16887	39403
300	16935	39328
301	16982	39251
302	17022	39158
303	17067	39076
304	17147	39073
305	17215	39044
306	17268	38981
307	17323	38921
308	17376	38858
309	17434	38806
310	17480	38726
311	17520	38634
312	17571	38567
313	17626	38508
314	17690	38470
315	17748	38418
316	17792	38335
317	17838	38257
318	17882	38174
319	17929	38099
320	17991	38056
321	18042	37990
322	18101	37939
323	18149	37868
324	18193	37786
325	18257	37747
326	18303	37669
327	18349	37593
328	18399	37525
329	18458	37475
330	18506	37404
331	18549	37321
332	18601	37258
333	18650	37190
334	18700	37121
335	18745	37044
336	18774	36936
337	18814	36848
338	18865	36784
339	18913	36713
340	18950	36622
341	19009	36574
342	19058	36506
343	19111	36444
344	19163	36382
345	19223	36335
346	19272	36268
347	19335	36225
348	19391	36171
349	19447	36116
350	19478	36016
351	19533	35958
352	19586	35900
353	19634	35830
354	19683	35763
355	19725	35683
356	19778	35622
357	19829	35560
358	19876	35490
359	19927	35426
360	19989	35383
361	20049	35336
362	20103	35278
363	20146	35201
364	20194	35132
365	20252	35082
366	20323	35054
367	20371	34985
368	20419	34918
369	20493	34893
370	20550	34841
371	20596	34770
372	20648	34708
373	20691	34632
374	20732	34554
375	20798	34516
376	20863	34477
377	20910	34408
378	20961	34345
379	21007	34274
380	21060	34217
381	21099	34134
382	21146	34066
383	21202	34012
