iter	Passed	Remaining
0	54	54539
1	86	43239
2	118	39480
3	154	38384
4	193	38471
5	226	37566
6	259	36857
7	291	36185
8	325	35810
9	358	35511
10	392	35304
11	428	35284
12	462	35142
13	502	35402
14	535	35169
15	573	35257
16	611	35378
17	662	36134
18	718	37108
19	825	40461
20	873	40707
21	914	40649
22	951	40411
23	1065	43341
24	1132	44161
25	1185	44426
26	1240	44698
27	1291	44816
28	1341	44907
29	1390	44949
30	1435	44865
31	1477	44689
32	1522	44626
33	1564	44447
34	1597	44054
35	1631	43684
36	1669	43453
37	1716	43461
38	1750	43130
39	1785	42858
40	1818	42542
41	1852	42259
42	1887	42003
43	1930	41949
44	1973	41881
45	2005	41601
46	2040	41383
47	2076	41186
48	2111	40972
49	2143	40731
50	2179	40546
51	2212	40342
52	2246	40148
53	2281	39970
54	2316	39798
55	2354	39695
56	2389	39532
57	2427	39431
58	2462	39268
59	2497	39131
60	2533	38995
61	2567	38847
62	2605	38750
63	2638	38594
64	2673	38457
65	2709	38336
66	2743	38208
67	2777	38072
68	2811	37939
69	2846	37821
70	2880	37688
71	2914	37562
72	2948	37446
73	2983	37329
74	3017	37217
75	3052	37107
76	3085	36988
77	3132	37032
78	3179	37067
79	3219	37024
80	3259	36985
81	3294	36880
82	3330	36791
83	3362	36671
84	3397	36576
85	3430	36463
86	3463	36347
87	3496	36237
88	3531	36151
89	3565	36050
90	3600	35962
91	3634	35874
92	3668	35779
93	3703	35692
94	3736	35596
95	3774	35540
96	3805	35430
97	3839	35343
98	3874	35262
99	3908	35174
100	3943	35104
101	3975	35004
102	4009	34921
103	4042	34824
104	4075	34736
105	4111	34673
106	4143	34582
107	4177	34503
108	4209	34407
109	4241	34320
110	4276	34250
111	4309	34167
112	4344	34101
113	4376	34015
114	4408	33929
115	4441	33851
116	4473	33760
117	4508	33698
118	4542	33627
119	4579	33581
120	4614	33524
121	4648	33453
122	4681	33377
123	4718	33331
124	4753	33274
125	4787	33205
126	4819	33131
127	4851	33053
128	4883	32971
129	4919	32923
130	4952	32852
131	4984	32776
132	5015	32697
133	5046	32615
134	5081	32562
135	5135	32622
136	5180	32631
137	5224	32634
138	5256	32557
139	5291	32504
140	5333	32494
141	5369	32443
142	5401	32372
143	5435	32312
144	5474	32283
145	5508	32219
146	5542	32160
147	5582	32139
148	5615	32071
149	5650	32022
150	5682	31952
151	5716	31889
152	5752	31845
153	5781	31758
154	5816	31711
155	5847	31636
156	5879	31568
157	5913	31513
158	5945	31448
159	5982	31407
160	6013	31335
161	6043	31263
162	6082	31230
163	6125	31223
164	6183	31294
165	6219	31246
166	6267	31261
167	6306	31232
168	6352	31237
169	6413	31311
170	6459	31316
171	6495	31268
172	6530	31217
173	6582	31247
174	6627	31245
175	6657	31168
176	6690	31108
177	6722	31042
178	6753	30975
179	6790	30934
180	6818	30854
181	6851	30795
182	6883	30732
183	6929	30728
184	6962	30672
185	6994	30608
186	7025	30542
187	7053	30466
188	7087	30411
189	7122	30365
190	7160	30328
191	7191	30265
192	7227	30220
193	7259	30162
194	7296	30120
195	7332	30079
196	7364	30018
197	7401	29978
198	7431	29914
199	7467	29869
200	7500	29813
201	7532	29757
202	7564	29697
203	7596	29641
204	7629	29589
205	7661	29529
206	7692	29471
207	7725	29416
208	7757	29358
209	7791	29311
210	7822	29250
211	7852	29188
212	7884	29133
213	7918	29084
214	7959	29060
215	7992	29010
216	8024	28954
217	8057	28902
218	8092	28858
219	8122	28797
220	8154	28744
221	8184	28683
222	8234	28691
223	8279	28683
224	8326	28681
225	8361	28635
226	8397	28596
227	8430	28545
228	8463	28493
229	8498	28452
230	8530	28399
231	8560	28338
232	8592	28285
233	8624	28233
234	8660	28192
235	8691	28137
236	8722	28081
237	8755	28033
238	8787	27979
239	8820	27931
240	8853	27883
241	8889	27843
242	8923	27797
243	8957	27752
244	8991	27708
245	9022	27655
246	9054	27604
247	9085	27550
248	9116	27496
249	9149	27448
250	9181	27397
251	9213	27348
252	9245	27297
253	9276	27245
254	9316	27217
255	9347	27166
256	9380	27118
257	9410	27065
258	9442	27013
259	9474	26965
260	9507	26919
261	9538	26868
262	9580	26846
263	9612	26797
264	9645	26752
265	9677	26703
266	9709	26654
267	9740	26604
268	9773	26559
269	9805	26509
270	9837	26464
271	9871	26420
272	9903	26373
273	9938	26332
274	9970	26286
275	10002	26237
276	10037	26197
277	10072	26160
278	10105	26115
279	10136	26066
280	10167	26016
281	10200	25971
282	10232	25924
283	10263	25875
284	10295	25830
285	10331	25792
286	10359	25737
287	10390	25688
288	10423	25644
289	10454	25595
290	10485	25547
291	10517	25501
292	10550	25458
293	10589	25428
294	10624	25389
295	10655	25342
296	10687	25296
297	10722	25257
298	10753	25212
299	10788	25172
300	10820	25127
301	10854	25087
302	10886	25042
303	10923	25009
304	10957	24968
305	10991	24927
306	11023	24883
307	11058	24846
308	11095	24812
309	11126	24765
310	11157	24717
311	11191	24678
312	11220	24627
313	11253	24586
314	11285	24541
315	11322	24507
316	11352	24460
317	11385	24417
318	11415	24370
319	11449	24329
320	11481	24285
321	11524	24265
322	11559	24227
323	11591	24184
324	11626	24147
325	11658	24104
326	11692	24063
327	11726	24024
328	11757	23979
329	11791	23939
330	11823	23897
331	11856	23856
332	11890	23816
333	11920	23770
334	11954	23730
335	11987	23689
336	12021	23650
337	12052	23606
338	12087	23567
339	12121	23529
340	12155	23490
341	12190	23453
342	12225	23416
343	12259	23378
344	12293	23339
345	12331	23309
346	12360	23260
347	12391	23216
348	12426	23179
349	12459	23138
350	12489	23093
351	12521	23050
352	12553	23008
353	12588	22973
354	12620	22930
355	12654	22891
356	12687	22851
357	12719	22810
358	12753	22772
359	12787	22733
360	12820	22693
361	12857	22659
362	12895	22629
363	12934	22599
364	12967	22559
365	13000	22519
366	13035	22483
367	13071	22448
368	13103	22408
369	13137	22369
370	13171	22331
371	13204	22291
372	13237	22251
373	13283	22233
374	13341	22235
375	13383	22211
376	13422	22180
377	13455	22141
378	13493	22109
379	13526	22069
380	13561	22033
381	13595	21994
382	13626	21951
383	13656	21906
384	13689	21867
385	13722	21828
386	13757	21791
387	13791	21753
388	13826	21717
389	13860	21679
390	13894	21640
391	13931	21607
392	13968	21574
393	14001	21535
394	14035	21497
395	14073	21466
396	14108	21428
397	14142	21392
398	14177	21355
399	14212	21318
400	14245	21279
401	14278	21239
402	14312	21202
403	14349	21168
404	14382	21129
405	14411	21084
406	14441	21041
407	14475	21003
408	14510	20966
409	14544	20929
410	14576	20889
411	14609	20850
412	14653	20827
413	14688	20790
414	14729	20763
415	14763	20726
416	14799	20691
417	14839	20661
418	14872	20622
419	14905	20583
420	14939	20546
421	14973	20509
422	15005	20469
423	15039	20431
424	15081	20404
425	15120	20374
426	15170	20358
427	15222	20344
428	15257	20307
429	15292	20271
430	15328	20236
431	15359	20195
432	15391	20154
433	15425	20117
434	15460	20080
435	15493	20042
436	15527	20004
437	15558	19963
438	15590	19923
439	15622	19882
440	15654	19843
441	15688	19805
442	15719	19764
443	15751	19724
444	15799	19705
445	15835	19670
446	15873	19638
