iter	RMSE
0	37.05726056
1	37.04923335
2	37.04180743
3	37.03519965
4	37.02833591
5	37.0221519
6	37.01641179
7	37.0106983
8	37.00552356
9	37.00012019
10	36.99582677
11	36.99085667
12	36.98679261
13	36.9825017
14	36.97822893
15	36.97422138
16	36.97105907
17	36.96773357
18	36.96465321
19	36.96124612
20	36.95824831
21	36.955576
22	36.95349582
23	36.95086003
24	36.94856434
25	36.94598574
26	36.94363599
27	36.94136764
28	36.93952395
29	36.93743873
30	36.93570948
31	36.93376123
32	36.93212019
33	36.9303444
34	36.92869054
35	36.92717556
36	36.92537332
37	36.9238721
38	36.92252751
39	36.92134507
40	36.92002407
41	36.9188411
42	36.91750296
43	36.91641112
44	36.91531781
45	36.91432807
46	36.91370839
47	36.91299459
48	36.91203261
49	36.91120363
50	36.91035642
51	36.9086541
52	36.90756488
53	36.9059312
54	36.90425299
55	36.902438
56	36.90079325
57	36.89953643
58	36.89827796
59	36.89712619
60	36.89595566
61	36.89486636
62	36.89359605
63	36.89260667
64	36.89161858
65	36.89063523
66	36.88966137
67	36.88871845
68	36.88780682
69	36.88684931
70	36.88599428
71	36.88547089
72	36.88476417
73	36.88412456
74	36.88349225
75	36.8828204
76	36.88211505
77	36.88154505
78	36.88099734
79	36.88049582
80	36.88012935
81	36.87981931
82	36.87925538
83	36.87897695
84	36.87851736
85	36.87827659
86	36.87785015
87	36.87758357
88	36.87715949
89	36.87671051
90	36.87635118
91	36.87614421
92	36.87574338
93	36.87536356
94	36.87496727
95	36.8746861
96	36.87421781
97	36.87359074
98	36.8732821
99	36.87304362
100	36.8726857
101	36.87231169
102	36.87158965
103	36.87130377
104	36.8712231
105	36.87092508
106	36.87064108
107	36.87045735
108	36.87013927
109	36.86969945
110	36.86941154
111	36.86920739
112	36.86892405
113	36.86870052
114	36.8684888
115	36.86816772
116	36.86793359
117	36.86773691
118	36.86741449
119	36.86715169
120	36.86692531
121	36.86683798
122	36.86670888
123	36.8665665
124	36.86644963
125	36.86615682
126	36.86592704
127	36.86580716
128	36.86560978
129	36.86529889
130	36.86489228
131	36.86468153
132	36.86466136
133	36.86453642
134	36.86435022
135	36.86421646
136	36.8639332
