iter	Passed	Remaining
0	171	171447
1	255	127409
2	333	110747
3	426	106110
4	502	100004
5	584	96878
6	677	96120
7	790	98065
8	886	97569
9	981	97132
10	1146	103064
11	1230	101340
12	1337	101526
13	1431	100815
14	1644	108001
15	1799	110643
16	1975	114224
17	2066	112717
18	2180	112564
19	2276	111569
20	2421	112906
21	2517	111897
22	2619	111258
23	2712	110307
24	2827	110281
25	2973	111385
26	3110	112108
27	3303	114692
28	3427	114777
29	3528	114079
30	3635	113631
31	3722	112602
32	3794	111184
33	3877	110165
34	3989	109995
35	4114	110169
36	4220	109850
37	4316	109286
38	4432	109217
39	4529	108711
40	4618	108033
41	4726	107814
42	4834	107597
43	4939	107325
44	5046	107103
45	5135	106503
46	5199	105436
47	5315	105431
48	5419	105186
49	5513	104759
50	5600	104221
51	5695	103831
52	5800	103642
53	5893	103243
54	5987	102870
55	6079	102489
56	6168	102054
57	6283	102052
58	6385	101840
59	6486	101617
60	6596	101535
61	6698	101336
62	6797	101106
63	6879	100618
64	6965	100200
65	7054	99832
66	7143	99470
67	7239	99220
68	7339	99036
69	7433	98764
70	7519	98391
71	7588	97805
72	7667	97371
73	7761	97126
74	7843	96737
75	7933	96451
76	8012	96047
77	8098	95725
78	8177	95336
79	8262	95019
80	8326	94468
81	8390	93934
82	8478	93667
83	8542	93154
84	8638	92991
85	8725	92734
86	8810	92460
87	8895	92190
88	8981	91932
89	9060	91611
90	9151	91412
91	9243	91232
92	9329	90988
93	9447	91057
94	9529	90778
95	9613	90525
96	9698	90287
97	9787	90088
98	9878	89906
99	9965	89686
100	10048	89444
101	10133	89210
102	10221	89016
103	10301	88751
104	10340	88141
105	10419	87875
106	10505	87678
107	10595	87507
108	10679	87294
109	10770	87141
110	10857	86956
111	10945	86784
112	11029	86575
113	11112	86368
114	11192	86130
115	11330	86346
116	11428	86251
117	11512	86051
118	11603	85907
119	11704	85831
120	11791	85659
121	11876	85473
122	12015	85673
123	12104	85514
124	12218	85530
125	12322	85475
126	12386	85145
127	12467	84936
128	12557	84787
129	12651	84667
130	12743	84535
131	12828	84355
132	12873	83917
133	12993	83971
134	13070	83747
135	13145	83511
136	13222	83293
