iter	RMSE_SumError	RMSE_SumWeight
0	228992292.7	497569
1	207103063.3	497569
2	191684081	497569
3	179073365.4	497569
4	170548352.6	497569
5	163157746.9	497569
6	157450979.8	497569
7	153656135.5	497569
8	150805342.1	497569
9	147775676.9	497569
10	145285964.2	497569
11	143683198.4	497569
12	142344401.6	497569
13	141131355.5	497569
14	140803188.1	497569
15	140074920.3	497569
16	139533998.9	497569
17	138905041.8	497569
18	138421600.8	497569
19	137606916.3	497569
20	136951160.3	497569
21	136464571.3	497569
22	136051899.3	497569
23	135476686.6	497569
24	135008733.3	497569
25	134748403.1	497569
26	134322715.6	497569
27	134010583.9	497569
28	133699639.8	497569
29	133291193.7	497569
30	132864991.1	497569
31	132665363.5	497569
32	132384903	497569
33	132072009	497569
34	131784184.4	497569
35	131580398.5	497569
36	131391211.7	497569
37	131198529.2	497569
38	131060634.8	497569
39	130903487.1	497569
40	130716525.1	497569
41	130453006.2	497569
42	130184745.5	497569
43	130106163.3	497569
44	129904424.1	497569
45	129804550.4	497569
46	129630832.2	497569
47	129382078.1	497569
48	129065120	497569
49	128961635.4	497569
50	128845054.5	497569
51	128755365.5	497569
52	128463388.5	497569
53	128442422.8	497569
54	128374297.9	497569
55	128076613.9	497569
56	127904847.1	497569
57	127842128.3	497569
58	127715128.2	497569
59	127650608.5	497569
60	127601189.5	497569
61	127501158.6	497569
62	127362273.6	497569
63	127285652.2	497569
64	127123218.5	497569
65	127072038.7	497569
66	126984852.2	497569
67	126830629.8	497569
68	126649850.3	497569
69	126498675.4	497569
70	126446964.3	497569
71	126367700.1	497569
72	126329235.9	497569
73	126231441.3	497569
74	126122268	497569
75	126075748.7	497569
76	125905323.9	497569
77	125904307.6	497569
78	125820637.6	497569
79	125805882.5	497569
80	125731202.8	497569
81	125646252.6	497569
82	125612266.8	497569
83	125401892.6	497569
84	125205771.8	497569
85	125099881.4	497569
86	125035379.5	497569
87	124990603.8	497569
88	124937095	497569
89	124776947	497569
90	124710502.9	497569
91	124687016.5	497569
92	124643925.3	497569
93	124592049.9	497569
94	124508451.9	497569
95	124453054.2	497569
96	124418594.9	497569
97	124239855.6	497569
98	124136475.6	497569
99	124083250.6	497569
100	124040235	497569
101	123913238.4	497569
102	123836199.3	497569
103	123741917.4	497569
104	123606296.2	497569
105	123576181.5	497569
106	123537992.6	497569
107	123491543.4	497569
108	123460753.1	497569
109	123387168.7	497569
110	123356501.9	497569
111	123234347.4	497569
112	123205635.3	497569
113	123047748.1	497569
114	122904412.6	497569
115	122866392.4	497569
116	122804499.1	497569
117	122763494	497569
118	122674977.1	497569
119	122642527.1	497569
120	122641559	497569
121	122640633.5	497569
122	122592816.1	497569
123	122569618	497569
124	122481061.5	497569
125	122430488.3	497569
126	122412909	497569
127	122357992.5	497569
128	122229622.1	497569
129	122228173.9	497569
130	122159970	497569
131	122126192.3	497569
132	122085577.1	497569
133	122085030.7	497569
134	122067970.9	497569
135	122067099.3	497569
136	122044204.1	497569
137	122041862.2	497569
138	121992752.8	497569
139	121865875.6	497569
140	121863717.5	497569
141	121845598.7	497569
142	121822720.3	497569
143	121727842.3	497569
144	121613173.6	497569
145	121572555	497569
146	121512901.8	497569
147	121494487.6	497569
148	121451291.5	497569
149	121425818.9	497569
150	121382448.4	497569
151	121355412.5	497569
152	121295005.4	497569
153	121256385.9	497569
154	121252939.5	497569
155	121165086.2	497569
156	121156788.3	497569
157	121153869.3	497569
158	121023566.6	497569
159	121010884.3	497569
160	121008530.2	497569
161	120990000.3	497569
162	120899296.7	497569
163	120874351.8	497569
164	120871739.4	497569
165	120745858.9	497569
166	120743203.8	497569
167	120739566.8	497569
168	120726907.4	497569
169	120718146.4	497569
170	120716147.7	497569
171	120681401.1	497569
172	120679412.9	497569
173	120533929.7	497569
174	120513635.8	497569
175	120508431.5	497569
176	120494229.7	497569
177	120461130.7	497569
178	120470942.7	497569
179	120375541.4	497569
180	120340119.3	497569
181	120265982	497569
182	120260023	497569
183	120151327.9	497569
184	120076849.8	497569
185	120035315.8	497569
186	120020574.2	497569
187	119991812.3	497569
188	119916499.3	497569
189	119841102.1	497569
190	119815067.2	497569
191	119797802.8	497569
192	119747158.6	497569
193	119723708.1	497569
194	119622473	497569
195	119602624.3	497569
196	119592228.5	497569
197	119578892.1	497569
198	119576453	497569
199	119525694	497569
200	119516670.1	497569
201	119503324.5	497569
202	119406865.4	497569
203	119382245.1	497569
204	119353358.9	497569
205	119331642.6	497569
206	119318427.7	497569
207	119318002.8	497569
208	119271938.3	497569
209	119263093	497569
210	119178141.4	497569
211	119180014.3	497569
212	119074754.3	497569
213	119064384.2	497569
214	119062895.3	497569
215	119042796.7	497569
216	119038699.8	497569
217	119011157.6	497569
218	118984327.8	497569
219	118983498	497569
220	118982414	497569
221	118899513	497569
222	118850145.4	497569
223	118832192.3	497569
224	118777487.7	497569
225	118749684.7	497569
226	118742010.5	497569
227	118692015.2	497569
228	118632890.3	497569
229	118611608.1	497569
230	118607761.6	497569
231	118558744.6	497569
232	118534493.2	497569
233	118453914	497569
234	118406226.9	497569
235	118382343	497569
236	118377208.6	497569
237	118298896.9	497569
238	118341754.8	497569
239	118347279.2	497569
240	118301912.9	497569
241	118264676.7	497569
242	118248905	497569
243	118243187.6	497569
244	118216966.8	497569
245	118214851.3	497569
246	118181633.5	497569
247	118149855.1	497569
248	118148485.1	497569
249	118167940.1	497569
250	118165020.6	497569
251	118114227.9	497569
252	118106474.1	497569
253	118081084.7	497569
254	118070754.6	497569
255	118017181	497569
256	118016171	497569
257	118023427.5	497569
258	118018304	497569
259	118017303	497569
260	117992826.5	497569
261	117989684.1	497569
262	117988979.9	497569
263	117985561.1	497569
264	117944804.7	497569
265	117916585.3	497569
266	117861182.2	497569
267	117835351.5	497569
268	117832862.6	497569
269	117844597.7	497569
270	117809303.3	497569
271	117792514.6	497569
272	117791767.4	497569
273	117725183	497569
274	117699769.1	497569
275	117665900.3	497569
276	117638460.1	497569
277	117637662	497569
278	117649152	497569
279	117623407.7	497569
280	117615317.7	497569
281	117556696	497569
