iter	Passed	Remaining
0	102	118128
1	195	113065
2	263	101508
3	315	90952
4	388	89401
5	462	88677
6	528	86884
7	584	83988
8	647	82587
9	708	81260
10	764	79628
11	848	80960
12	914	80474
13	978	79852
14	1029	78412
15	1073	76587
16	1118	75015
17	1163	73637
18	1211	72565
19	1256	71443
20	1304	70568
21	1344	69350
22	1411	69611
23	1470	69411
24	1525	69089
25	1594	69356
26	1655	69266
27	1703	68693
28	1749	68064
29	1802	67727
30	1853	67314
31	1896	66667
32	1964	66904
33	2013	66520
34	2056	65923
35	2096	65295
36	2150	65103
37	2209	65073
38	2271	65118
39	2326	64956
40	2388	65018
41	2454	65167
42	2511	65062
43	2584	65367
44	2672	66039
45	2754	66519
46	2818	66555
47	2878	66515
48	2971	67183
49	3057	67687
50	3101	67252
51	3141	66762
52	3180	66245
53	3239	66170
54	3298	66085
55	3355	65969
56	3413	65881
57	3477	65895
58	3547	66012
59	3588	65614
60	3632	65270
61	3709	65520
62	3756	65237
63	3803	64955
64	3864	64931
65	3932	64997
66	3981	64770
67	4040	64707
68	4106	64757
69	4153	64493
70	4238	64834
71	4341	65428
72	4390	65199
73	4442	65010
74	4522	65245
75	4575	65080
76	4619	64793
77	4673	64653
78	4729	64539
79	4787	64453
80	4841	64308
81	4919	64495
82	5005	64769
83	5223	66726
84	5306	66919
85	5412	67404
86	5476	67360
87	5530	67185
88	5573	66880
89	5641	66879
90	5700	66771
91	5754	66610
92	5806	66430
93	5877	66460
94	5935	66350
95	6003	66348
96	6055	66170
97	6138	66333
98	6176	66012
99	6232	65878
100	6286	65729
101	6349	65674
102	6405	65547
103	6479	65609
104	6559	65724
105	6621	65653
106	6701	65763
107	6799	66045
108	6851	65874
109	6910	65774
110	6962	65614
111	7021	65515
112	7075	65368
113	7118	65131
114	7165	64926
115	7223	64820
116	7278	64701
117	7360	64809
118	7437	64873
119	7498	64799
120	7556	64700
121	7587	64366
122	7636	64194
123	7691	64077
124	7741	63910
125	7792	63759
126	7849	63658
127	7892	63451
128	7959	63432
129	8016	63332
130	8073	63233
131	8116	63028
132	8161	62834
133	8206	62650
134	8248	62442
135	8298	62303
136	8358	62230
137	8413	62123
138	8466	62006
139	8523	61916
140	8575	61792
141	8631	61695
142	8689	61615
143	8733	61437
144	8787	61332
145	8840	61216
146	8896	61128
147	8950	61023
148	9010	60957
149	9060	60827
150	9111	60703
151	9190	60768
152	9251	60710
153	9303	60591
154	9360	60509
155	9414	60408
156	9473	60339
157	9518	60182
158	9579	60127
159	9632	60021
160	9663	59780
161	9724	59730
162	9770	59581
163	9827	59507
164	9860	59282
165	9907	59146
166	9950	58987
167	10031	59052
168	10095	59020
169	10154	58958
170	10201	58822
171	10265	58790
172	10321	58706
173	10371	58594
174	10431	58533
175	10494	58493
176	10546	58390
177	10606	58338
178	10668	58290
179	10717	58169
180	10768	58064
181	10812	57926
182	10870	57856
183	10913	57710
184	10963	57604
185	11020	57531
186	11106	57609
187	11162	57533
188	11221	57474
189	11291	57467
190	11348	57393
191	11418	57392
192	11512	57500
193	11552	57345
194	11608	57269
195	11656	57151
196	11715	57088
197	11774	57028
198	11842	57009
199	11895	56919
200	11980	56981
201	12044	56942
202	12095	56844
203	12159	56803
204	12204	56676
205	12258	56593
206	12310	56495
207	12365	56418
208	12444	56447
209	12513	56427
210	12559	56311
211	12626	56282
212	12675	56176
213	12721	56056
214	12768	55945
215	12835	55917
216	12889	55836
217	12938	55730
218	12984	55614
219	13029	55495
220	13071	55363
221	13129	55297
222	13174	55179
223	13219	55062
224	13283	55021
225	13343	54967
226	13399	54898
227	13467	54875
228	13525	54809
229	13600	54813
230	13711	54964
231	13813	55073
232	13883	55058
233	13939	54984
234	13996	54914
235	14083	54963
236	14156	54953
237	14214	54885
238	14265	54794
239	14338	54783
240	14392	54703
241	14447	54624
242	14500	54542
243	14546	54430
244	14601	54355
245	14646	54238
246	14701	54164
247	14753	54078
248	14818	54035
249	14890	54023
250	14953	53977
251	15016	53927
252	15079	53880
253	15171	53938
254	15251	53948
255	15311	53890
256	15375	53845
257	15430	53767
258	15476	53658
259	15584	53766
260	15663	53773
261	15722	53709
262	15807	53733
263	15892	53756
264	15955	53708
265	16027	53686
266	16087	53623
267	16176	53659
268	16224	53560
269	16318	53608
270	16377	53543
271	16444	53504
272	16540	53559
273	16598	53489
274	16636	53358
275	16681	53247
276	16733	53161
277	16779	53055
278	16833	52973
279	16892	52910
280	16954	52853
281	17048	52898
282	17139	52931
283	17209	52900
284	17270	52841
285	17331	52781
286	17381	52688
287	17445	52638
288	17498	52557
289	17549	52466
290	17594	52360
291	17649	52284
292	17692	52171
293	17754	52116
294	17801	52015
295	17849	51919
296	17893	51813
297	17939	51710
298	17985	51610
299	18038	51528
300	18091	51450
301	18140	51359
302	18182	51246
303	18271	51267
304	18335	51218
305	18397	51163
306	18454	51094
307	18515	51038
308	18587	51009
309	18653	50964
310	18713	50906
311	18785	50877
312	18845	50817
313	18906	50759
314	18975	50721
315	19018	50614
316	19074	50544
317	19123	50455
318	19185	50399
319	19244	50337
320	19314	50301
321	19370	50231
322	19423	50152
323	19470	50059
324	19524	49981
325	19575	49899
326	19635	49839
327	19691	49769
328	19751	49709
329	19807	49638
330	19861	49564
331	19934	49534
332	19998	49484
333	20041	49384
334	20087	49288
335	20144	49221
336	20208	49172
337	20270	49117
338	20328	49053
339	20388	48991
340	20449	48934
341	20496	48844
342	20558	48789
343	20618	48728
344	20674	48660
345	20730	48590
346	20776	48498
347	20833	48431
348	20892	48370
349	20949	48303
350	20996	48214
351	21052	48144
352	21097	48053
353	21146	47967
354	21197	47888
355	21259	47834
356	21303	47737
357	21386	47730
358	21451	47682
359	21516	47634
360	21578	47580
361	21637	47518
362	21684	47430
363	21751	47387
364	21834	47377
365	21894	47318
366	21952	47255
367	22005	47179
368	22064	47118
369	22124	47060
370	22168	46966
371	22226	46902
372	22282	46836
373	22335	46762
374	22394	46700
375	22458	46649
376	22491	46533
377	22549	46471
378	22612	46418
379	22657	46328
380	22709	46254
381	22754	46163
382	22800	46077
383	22846	45991
384	22901	45922
385	22958	45856
386	23012	45787
387	23069	45722
388	23127	45661
389	23173	45573
390	23229	45508
391	23284	45441
392	23341	45376
393	23380	45277
394	23442	45223
395	23500	45161
396	23555	45093
397	23603	45013
398	23659	44946
399	23700	44852
400	23750	44775
401	23806	44710
402	23867	44655
403	23921	44585
404	23970	44508
405	24029	44448
406	24084	44381
407	24133	44303
408	24184	44230
409	24235	44156
